Iteration,Host,IP Source,IP Destination,Flow Label,Is,Number,Timestamp (seconds-Unix Epoch),Nº pkt out of order,Out of order packets,DSCP,Avg Jitter (Nanoseconds)
7,h8_3,2001:1:3::1,2001:1:8::3,1,receiver,9558,1745353967.0202842,9,"[796, 865, 879, 1082, 1081, 1872, 2347, 3756, 8419]",35,31381626.911406722
7,h1_1,2001:1:8::1,2001:1:1::1,1,receiver,2958,1745353967.023323,15,"[885, 884, 889, 1001, 1098, 1097, 1096, 1684, 1892, 1894, 1898, 1900, 2252, 2320, 2925]",0,26614581.756772332
8,h2_1,2001:1:2::1,2001:1:3::1,1,sender,3000,1745354312.892378,,,0,
8,h8_1,2001:1:8::1,2001:1:1::1,1,sender,3000,1745354312.889179,,,0,
8,h1_2,2001:1:1::2,2001:1:7::1,1,sender,30000,1745354312.875188,,,34,
8,h5_1,2001:1:5::1,2001:1:7::2,1,sender,30000,1745354312.894516,,,34,
8,h3_1,2001:1:3::1,2001:1:8::3,1,sender,15000,1745354312.894119,,,35,
8,h2_2,2001:1:2::2,2001:1:8::2,1,sender,15000,1745354312.889516,,,35,
8,h3_1,2001:1:3::1,2001:1:7::3,1,sender,15000,1745354312.916644,,,35,
8,h7_1,2001:1:1::2,2001:1:7::1,1,receiver,9679,1745354313.037195,7,"[257, 263, 610, 2291, 2360, 2532, 9229]",34,30990239.176970404
8,h7_3,2001:1:3::1,2001:1:7::3,1,receiver,9544,1745354313.0610452,3,"[1202, 1236, 2619]",35,31429273.559581522
8,h8_3,2001:1:3::1,2001:1:8::3,1,receiver,9548,1745354313.1195264,4,"[2104, 7991, 8016, 9399]",35,31405209.39629201
8,h7_2,2001:1:5::1,2001:1:7::2,1,receiver,9614,1745354313.0612898,5,"[1009, 3086, 4896, 5089, 5361]",34,31194602.25030889
